company_name,company_number,registered_locality,date_of_creation,primary_sic_category,sic_categories,core_score,cross_ref_promote,alignment_score,combined_score,stage_estimate,stage_confidence,why_selected,risk_flags
BARNACRE SOLAR LIMITED,15093757,LONDON,2023-08-23,CleanTech,{CleanTech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
QUANTUMSPACE PRIVATE LIMITED,16713038,LONDON,2025-09-11,Space & Aero,"{""Deep R&D"",""Space & Aero""}",53,f,27,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
EVOLUTION THERAPEUTICS LTD,14545185,COVENTRY,2022-12-16,Biotech,{Biotech},47,f,33,80,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PYRINOME THERAPEUTICS LIMITED,15424027,COLCHESTER,2024-01-18,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
REGENALL DIAGNOSTICS LIMITED,16249838,LONDON,2025-02-13,HealthTech,{HealthTech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CRISTAE THERAPEUTICS LIMITED,16281411,SHINFIELD,2025-02-27,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
NATIVE LABS LTD,14919214,LONDON,2023-06-05,Biotech,{Biotech},45,f,35,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PRODROMIC LTD,15868742,MILTON,2024-07-30,Biotech,{Biotech},45,f,35,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PHOREST DIAGNOSTICS LTD,14015776,YORK,2022-03-30,Deep R&D,"{""Deep R&D""}",47,f,33,80,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
AFORTIORI BIO LIMITED,16612391,STEVENAGE,2025-07-28,Biotech,{Biotech},47,f,33,80,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
NAIROX HEALTH LIMITED,15968687,LONDON,2024-09-19,Biotech,"{""AI & Software"",Biotech}",48,f,32,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation""]",[]
SALJE CONSULTANCY LTD,15911721,CAMBRIDGE,2024-08-21,Deep R&D,"{""Deep R&D""}",45,f,35,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
LEAFYCOLL LTD,15098267,CAMBRIDGE,2023-08-26,Biotech,{Biotech},45,f,35,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CLADE BIOSCIENCES LTD,16687532,MACCLESFIELD,2025-09-01,Biotech,{Biotech},50,f,30,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]",[]
ELECTROGENOS LTD,14253077,ABINGDON,2022-07-24,Deep R&D,"{""Deep R&D""}",45,f,35,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
GENSCRIPT BIOTECH (UK) LIMITED,13479786,OXFORD,2021-06-27,Biotech,{Biotech},61,f,19,80,seed,medium,"[""at least one director"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure"", ""no PSC data""]"
SIGNACOR THERAPEUTICS LIMITED,NI717003,BELFAST,2024-06-12,Biotech,{Biotech},47,f,33,80,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
EYAM VACCINES AND IMMUNOTHERAPEUTICS UK LTD,SC721585,DUNDEE,2022-01-31,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ONTRACK THERAPEUTICS LTD,13813604,SEVENOAKS,2021-12-22,Biotech,{Biotech},47,f,33,80,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
AGARICUS ROBOTICS LTD,13561943,LINCOLN,2021-08-11,Deep R&D,"{""Deep R&D""}",47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PHARE LABS LIMITED,13515798,LONDON,2021-07-15,Deep R&D,"{""Deep R&D""}",45,f,35,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
LATTICE LABS LTD.,14234949,LONDON,2022-07-13,Deep R&D,"{""AI & Software"",""Deep R&D""}",45,f,35,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
OUTFOX BIO LIMITED,13786991,DIDCOT,2021-12-07,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
NEURAL PHOTONICS LIMITED,15452121,LONDON,2024-01-30,Biotech,"{Biotech,""Deep R&D""}",51,f,29,80,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
HAWKHILL THERAPEUTICS LIMITED,SC853473,DUNDEE,2025-06-24,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
LAVEROCK THERAPEUTICS LIMITED,13508159,CHANDLER'S FORD,2021-07-12,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
BPLETE LIMITED,13439199,CAMBRIDGE,2021-06-03,Biotech,{Biotech},45,f,35,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
BIVICTRIX THERAPEUTICS LIMITED,13470690,MACCLESFIELD,2021-06-21,Biotech,{Biotech},47,f,33,80,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
VJ ENGINEERING CONSULTANT LTD,14346610,LONDON,2022-09-08,Deep R&D,"{""Deep R&D""}",51,f,29,80,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
PIVOTAL FUTURE LTD,13611777,CAMBRIDGE,2021-09-08,Deep R&D,"{""Deep R&D""}",45,f,35,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MICROMELT LTD,14864260,OXFORD,2023-05-11,Deep R&D,"{""Deep R&D""}",45,f,35,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CAMCON ROBOTICS LTD,14516780,SOUTHAMPTON,2022-11-30,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SOLUTE GUARD THERAPEUTICS LIMITED,15885101,LONDON,2024-08-07,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
FUNCTION RX LIMITED,15044207,CAMBRIDGE,2023-08-01,Biotech,{Biotech},45,f,35,80,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
FRONTIER DIAGNOSTICS LTD,14416890,ISLEWORTH,2022-10-12,Biotech,{Biotech},47,f,33,80,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
EYVIVA THERAPEUTICS LTD,15493225,ASHFORD,2024-02-15,Biotech,{Biotech},47,f,33,80,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PEROCYCLE LIMITED,16130760,CAMBRIDGE,2024-12-11,Deep R&D,"{CleanTech,""Deep R&D""}",46,f,33,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MMC MATERIALS UK LIMITED,13897245,LONDON,2022-02-07,Biotech,{Biotech},50,f,29,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PERSEUS MOTOR CORPORATION LIMITED,15715086,LONDON,2024-05-10,Deep R&D,"{""Deep R&D""}",50,f,29,79,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
CAMOXIS THERAPEUTICS LIMITED,14758276,BARNET,2023-03-25,Deep R&D,"{""Deep R&D""}",47,f,32,79,seed,medium,"[""at least one director"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
DAIM PHARMA LTD,13318591,LONDON,2021-04-06,Biotech,{Biotech},46,f,33,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
KYOTO FUSIONEERING UK LTD.,13662632,OXFORD,2021-10-04,Deep R&D,"{""Deep R&D""}",46,f,33,79,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MKB BIOPHARMA HOLDINGS LTD,14067292,LONDON,2022-04-24,Biotech,{Biotech},46,f,33,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
EMERALD GREEN BIOCHEM LTD,14342945,LONDON,2022-09-06,Biotech,"{""Advanced Materials"",Biotech}",46,f,33,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
DRAIG THERAPEUTICS LTD,13405365,CARDIFF,2021-05-17,Biotech,{Biotech},50,f,29,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
FRESHSTART DIAGNOSTICS LTD,14789325,LONDON,2023-04-09,Deep R&D,"{""Deep R&D""}",46,f,33,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
MIAS PHARMA UK LIMITED,14844184,HISTON,2023-05-02,Biotech,"{Biotech,""Deep R&D""}",46,f,33,79,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
