company_name,company_number,registered_locality,date_of_creation,primary_sic_category,sic_categories,core_score,cross_ref_promote,alignment_score,combined_score,stage_estimate,stage_confidence,why_selected,risk_flags
TCEB LIMITED,14961531,CAMBRIDGE,2023-06-25,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP52 LIMITED,15822012,CAMBRIDGE,2024-07-04,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP08 LIMITED,13594874,CAMBRIDGE,2021-08-30,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP53 LIMITED,15719166,CAMBRIDGE,2024-05-13,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP23 LIMITED,13737736,CAMBRIDGE,2021-11-11,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP21 LIMITED,13737726,CAMBRIDGE,2021-11-11,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
LIFE RESEARCH OXFORD LIMITED,15715253,OXFORD,2024-05-10,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CAMBRIONIX GROUP LIMITED,14477035,CAMBRIDGE,2022-11-10,Hardware,{Hardware},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP20 LIMITED,13736381,CAMBRIDGE,2021-11-10,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP50 LIMITED,15413451,CAMBRIDGE,2024-01-15,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP04 LIMITED,13594883,CAMBRIDGE,2021-08-30,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP46 LIMITED,15316208,CAMBRIDGE,2023-11-29,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP45 LIMITED,15316237,CAMBRIDGE,2023-11-29,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
RONGBIENT BIOSCIENCES LIMITED,16587413,NORWICH,2025-07-15,Deep R&D,"{""Deep R&D""}",49,f,29,78,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
TANGIBLE BIOSCIENCES LTD,16286973,HORSHAM,2025-03-03,Biotech,{Biotech},49,f,29,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
MIMICRETE LTD,13437687,CAMBRIDGE,2021-06-02,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP09 LIMITED,13735253,CAMBRIDGE,2021-11-10,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP10 LIMITED,13886072,CAMBRIDGE,2022-02-01,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ISOMAB LTD,13972139,CAMBRIDGE,2022-03-11,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP05 LIMITED,13735245,CAMBRIDGE,2021-11-10,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
APOLLO AP51 LIMITED,15459801,CAMBRIDGE,2024-02-01,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
VENTDX LTD,13474794,OXFORD,2021-06-23,Biotech,{Biotech},45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SUDO BIOSCIENCES LIMITED,13340912,ALTRINCHAM,2021-04-15,Biotech,{Biotech},49,f,29,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
APOLLO AP43 LIMITED,14237787,CAMBRIDGE,2022-07-14,Deep R&D,"{""Deep R&D""}",45,f,33,78,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CANIVAX LIMITED,15426612,OXFORD,2024-01-19,Biotech,{Biotech},45,f,32,77,seed,medium,"[""at least one director"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
IOVANCE BIOTHERAPEUTICS UK LTD,14607528,ALTRINCHAM,2023-01-20,Biotech,{Biotech},48,f,29,77,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
THERMAL ENGINEERING INTERNATIONAL UK LIMITED,14356464,LONDON,2022-09-13,Deep R&D,"{""Deep R&D""}",48,f,29,77,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
CYANOCAPTURE LTD,13307428,OXFORD,2021-03-31,Biotech,{Biotech},45,f,32,77,post-seed,medium,"[""at least one director"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
FLEXENABLE TECHNOLOGY LIMITED,14348658,CAMBRIDGE,2022-09-08,Deep R&D,"{""Advanced Materials"",""Deep R&D"",Hardware}",48,f,29,77,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
BLOOMSBURY GENETIC THERAPIES LIMITED,13593877,WATERBEACH,2021-08-30,Biotech,{Biotech},45,f,32,77,post-seed,medium,"[""at least one director"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
GRAEGIS PHARMACEUTICALS LIMITED,13680871,CAMBRIDGE,2021-10-13,Biotech,{Biotech},45,f,32,77,seed,medium,"[""at least one director"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
ELYARA BIOSCIENCES LTD,17059589,LONDON,2026-02-27,Biotech,{Biotech},50,f,27,77,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
EVERDYN ENERGY LTD,16900752,CAMBRIDGE,2025-12-09,Deep R&D,"{""AI & Software"",CleanTech,""Deep R&D""}",46,f,30,76,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]",[]
ADVIA THERAPEUTICS UK LIMITED,15898325,ALTRINCHAM,2024-08-14,Biotech,{Biotech},47,f,29,76,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
SHARD DIAGNOSTICS LTD,15798577,NOTTINGHAM,2024-06-23,Biotech,{Biotech},47,f,29,76,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
PLEIADES AEROSPACE LTD,16875113,LONDON,2025-11-26,Space & Aero,"{""Deep R&D"",""Space & Aero""}",47,f,29,76,post-seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
QUILT BIO LIMITED,15808786,CAMBRIDGE,2024-06-27,Biotech,{Biotech},47,f,29,76,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
GALVANY PHARMA LIMITED,13977261,STEVENAGE,2022-03-15,Biotech,{Biotech},47,f,29,76,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
RECYCLE BIO LIMITED,15236618,CAMBRIDGE,2023-10-24,Biotech,{Biotech},47,f,29,76,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CIDER BIO LIMITED,15730321,CAMBRIDGE,2024-05-19,Biotech,{Biotech},47,f,29,76,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
GENEIAL THERAPEUTICS LIMITED,14186190,HARROW,2022-06-20,Biotech,{Biotech},47,f,29,76,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
XRLABS LTD,15433851,LONDON,2024-01-23,Biotech,"{Biotech,""Deep R&D""}",47,f,29,76,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
COLLABIO COLLABORATIVE HEALTHCARE (UK HOLDINGS) LIMITED,15441648,LONDON,2024-01-25,Biotech,{Biotech},47,f,29,76,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
CRYSTALLISED AI LTD,15932664,LONDON,2024-09-02,Deep R&D,"{""Deep R&D"",Hardware}",47,f,29,76,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation""]",[]
BEACON THERAPEUTICS LIMITED,14426488,LONDON,2022-10-17,Biotech,{Biotech},47,f,29,76,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
NUBAIO LIMITED,15803595,LONDON,2024-06-25,Biotech,"{Biotech,HealthTech}",47,f,29,76,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
TENPOINT THERAPEUTICS HOLDING LIMITED,15802446,ALTRINCHAM,2024-06-24,Biotech,{Biotech},47,f,29,76,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
CODEDEVZA AI LTD,16485057,LONDON,2025-05-29,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",46,f,29,75,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
SIDESIGN WORKS LTD,13394612,DIDCOT,2021-05-12,Deep R&D,"{""Deep R&D""}",46,f,29,75,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
ANGSTROM AI LTD,15640060,LONDON,2024-04-11,Biotech,"{""AI & Software"",Biotech,""Data & Cloud""}",46,f,29,75,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
ILLUMINAFY AI LTD,15486628,LONDON,2024-02-13,Deep R&D,"{""Deep R&D""}",46,f,29,75,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
REONOX LTD,15965788,WITNEY,2024-09-17,Biotech,"{""AI & Software"",Biotech}",45,f,30,75,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity""]",[]
TD2 INTERNATIONAL LIMITED,15841037,BRISTOL,2024-07-15,Biotech,{Biotech},51,f,24,75,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity""]","[""no PSC data""]"
GLIAL DIAGNOSTICS LTD,14927518,NOTTINGHAM,2023-06-08,HealthTech,{HealthTech},46,f,29,75,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
STERLING BIO MACHINES LTD,14579319,LONDON,2023-01-09,Biotech,"{Biotech,""Deep R&D"",Hardware}",46,f,29,75,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
LUX INDUSTRIES LTD,14388644,DIDCOT,2022-09-29,Deep R&D,"{""Deep R&D""}",46,f,29,75,post-seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
RESPIMMUNE THERAPEUTICS LTD,SC848028,GLASGOW,2025-05-08,Biotech,{Biotech},47,f,28,75,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]",[]
SERENOX LIMITED,14255266,"OXFORD,",2022-07-24,Biotech,"{Biotech,""Deep R&D""}",46,f,29,75,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
ALLOS AI LIMITED,14003168,LONDON,2022-03-25,Deep R&D,"{""AI & Software"",""Deep R&D""}",46,f,29,75,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
DOCME TECHNOLOGIES LTD,13475088,CAMBRIDGE,2021-06-23,Deep R&D,"{""Deep R&D""}",46,f,29,75,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
LINEARLABS LIMITED,15441689,LONDON,2024-01-25,Deep R&D,"{""AI & Software"",""Deep R&D""}",45,f,29,74,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
AETHOX THERAPEUTICS LTD,16274677,BRECON,2025-02-25,Biotech,{Biotech},47,f,27,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
AMGEN UK HOLDINGS LIMITED,16897338,CAMBRIDGE,2025-12-08,Biotech,{Biotech},45,f,29,74,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
INTRINSIC ROBOTICS LIMITED,16754651,BEDFORD,2025-09-30,Deep R&D,"{""Deep R&D""}",47,f,27,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
BPRD THERAPEUTICS LIMITED,16968893,SHEFFIELD,2026-01-16,Deep R&D,"{""Deep R&D""}",47,f,27,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
VOITH AI LTD,16431925,LONDON,2025-05-05,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",46,f,28,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]",[]
IONA LOGISTICS LTD,13689603,CAMBRIDGE,2021-10-18,Space & Aero,"{""Space & Aero""}",45,f,29,74,post-seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
CHIPMUNK WD292 LTD,14305266,CAMBRIDGE,2022-08-17,Space & Aero,"{""Space & Aero""}",45,f,29,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
SYNTHERIX LIMITED,14453188,CAMBRIDGE,2022-10-31,Biotech,{Biotech},45,f,29,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
QE DIAGNOSTICS LTD,14671387,NEWPORT,2023-02-17,MedTech,{MedTech},45,f,29,74,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
VIRONOVA BIOANALYTICS HOLDINGS LIMITED,15278963,LONDON,2023-11-13,Biotech,{Biotech},45,f,29,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
CERES RESEARCH LTD,15469182,SAFFRON WALDEN,2024-02-06,Deep R&D,"{""Deep R&D""}",45,f,29,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
NETHOLABS LTD,15819389,LONDON,2024-07-03,Biotech,{Biotech},45,f,29,74,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
XYME LIMITED,15844936,OXFORD,2024-07-16,Biotech,{Biotech},45,f,29,74,post-seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
R4PID UK LTD,15882327,OXFORD,2024-08-05,Deep R&D,"{""Deep R&D""}",45,f,29,74,seed,medium,"[""at least one director"", ""PSCs present (2)"", ""multiple PSCs"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
GEMINI SCIENCES LIMITED,16001503,CAMBRIDGE,2024-10-06,Deep R&D,"{""Deep R&D""}",45,f,29,74,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
CIRCLTECH LIMITED,16021584,CAMBRIDGE,2024-10-15,Deep R&D,"{""Deep R&D""}",45,f,29,74,seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
COHERENCE ENGINE LTD,16613025,CAMBRIDGE,2025-07-28,Deep R&D,"{""Deep R&D""}",45,f,29,74,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
FIERA ONCOLOGY LIMITED,16737133,CAMBRIDGE,2025-09-22,Biotech,{Biotech},45,f,29,74,seed,medium,"[""at least one director"", ""multiple directors"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]",[]
OPTIMALPHAGE THERAPEUTICS LTD,16353913,LONDON,2025-03-30,Biotech,{Biotech},64,f,9,73,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure""]","[""no PSC data"", ""only incorporation filing""]"
DEFY AEROSPACE LTD,15893483,LONDON,2024-08-12,Deep R&D,"{""Deep R&D""}",45,f,28,73,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity""]",[]
VERTICAL VINEYARD LTD,16845655,SAFFRON WALDEN,2025-11-10,Biotech,{Biotech},45,f,27,72,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (3)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
OXPERIAL BIOHEALTH LTD,15831467,OXFORD,2024-07-09,Biotech,{Biotech},49,f,23,72,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation""]",[]
CYBERNATION INDUSTRIES UK LIMITED,16555454,LONDON,2025-07-01,AI & Software,"{""AI & Software"",""Deep R&D""}",54,f,18,72,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)""]","[""only incorporation filing""]"
XALO LABS LIMITED,17047406,LONDON,2026-02-23,Deep R&D,"{""AI & Software"",""Data & Cloud"",""Deep R&D""}",45,f,27,72,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (4)"", ""multiple PSCs"", ""non-trivial ownership structure""]","[""only incorporation filing""]"
PFEIFER & LANGEN UK LIMITED,16679150,CAMBRIDGE,2025-08-27,Biotech,"{""Advanced Materials"",Biotech}",46,f,25,71,post-seed,medium,"[""at least one director"", ""multiple directors"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""no PSC data""]"
AMARANTHLABS LTD,16138170,ABINGDON,2024-12-16,Deep R&D,"{""Deep R&D""}",48,f,23,71,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
ILLUMINA VENTURES LABS LTD,14921070,CAMBRIDGE,2023-06-06,Biotech,{Biotech},48,f,23,71,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
SYNDEX BIO LTD,13965733,CAMBRIDGE,2022-03-09,Biotech,{Biotech},47,f,23,70,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
QUOTIENT THERAPEUTICS LIMITED,14042800,LONDON,2022-04-11,Biotech,{Biotech},47,f,23,70,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
CRESCENT BONE HEALTH LIMITED,15309346,LONDON,2023-11-27,Biotech,"{Biotech,""Deep R&D"",R&D}",47,f,23,70,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
UNCOVER THERAPEUTICS LIMITED,16287152,FAIRFORD,2025-03-03,Biotech,{Biotech},47,f,23,70,post-seed,medium,"[""at least one director"", ""multiple directors"", ""broader management structure"", ""PSCs present (1)"", ""more than incorporation""]",[]
CONNEXIN THERAPEUTICS GROUP LIMITED,13765799,YORK,2021-11-25,Biotech,{Biotech},47,f,23,70,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
GLITTERINTECH LTD,14823117,CAMBRIDGE,2023-04-23,Deep R&D,"{""AI & Software"",""Deep R&D"",Hardware}",47,f,23,70,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
AMBROSE HEALTHCARE LTD,14409383,CAMBRIDGE,2022-10-09,Biotech,{Biotech},47,f,23,70,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
BIOFLARES LTD,13312560,CAMBRIDGE,2021-04-02,Deep R&D,"{""Deep R&D""}",47,f,23,70,seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
NORTHPORT BIO LTD,16024318,OXFORD,2024-10-16,Biotech,{Biotech},47,f,23,70,post-seed,medium,"[""at least one director"", ""PSCs present (1)"", ""more than incorporation"", ""non-trivial filing activity"", ""multiple meaningful filings""]","[""single-director structure""]"
