company_number,core_score,sic_score,keyword_score,cluster_score,recency_score,confidence_band,promotion_reason,promoted_to_enrichment,screened_at,cross_ref_promote,primary_sic_category,sic_categories,keyword_categories,sector_categories
16716991,46,26,0,20,0,medium,,t,2026-03-31 15:37:34.651475,f,Space & Aero,"{""Space & Aero""}",{},"{""Space & Aero""}"
16735166,42,25,0,17,0,medium,,t,2026-03-31 15:37:52.458251,f,Biotech,"{""AI & Software"",Biotech}",{},"{""AI & Software"",Biotech}"
13804285,32,0,12,20,0,low,,t,2026-03-31 15:19:42.457528,f,,{},{},{}
16387551,44,10,14,20,0,medium,,t,2026-03-31 15:32:28.570451,f,Advanced Materials,"{""Advanced Materials""}","{""Advanced Materials""}","{""Advanced Materials""}"
15098623,29,0,12,17,0,low,,t,2026-03-31 15:23:08.875644,f,,{},{},{}
16507743,27,0,10,17,0,low,,t,2026-03-31 15:34:23.057871,f,,{},{},{}
16030649,29,0,12,17,0,low,,t,2026-03-31 15:28:20.150543,f,,{},{},{}
SC848528,29,0,12,17,0,low,,t,2026-03-31 15:47:49.014814,f,,{},{},{}
16201657,32,0,12,20,0,low,,t,2026-03-31 15:30:07.070098,f,,{},{},{}
13423215,55,25,16,14,0,medium,,t,2026-03-31 15:18:26.557829,f,Biotech,{Biotech},{Biotech},{Biotech}
15358708,31,0,14,17,0,low,,t,2026-03-31 15:24:11.245795,f,,{},{},{}
15039005,20,8,12,0,0,low,,t,2026-03-31 15:22:56.378088,f,HealthTech,{HealthTech},{},{HealthTech}
16590805,45,25,3,17,0,medium,,t,2026-03-31 15:35:36.557224,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
16456605,31,0,14,17,0,low,,t,2026-03-31 15:33:36.343559,f,,{},{},{}
16187104,21,11,10,0,0,low,,t,2026-03-31 15:29:55.513308,f,HealthTech,{HealthTech},{MedTech},"{HealthTech,MedTech}"
16769284,42,25,0,17,0,medium,,t,2026-03-31 15:38:31.50721,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
SC844452,58,25,16,17,0,medium,,t,2026-03-31 15:47:41.877631,f,Deep R&D,"{""Deep R&D""}",{Biotech},"{Biotech,""Deep R&D""}"
14198184,22,10,12,0,0,low,,t,2026-03-31 15:20:27.773893,f,Deep R&D,"{""Deep R&D""}",{CleanTech},"{CleanTech,""Deep R&D""}"
SC785049,48,26,22,0,0,medium,,t,2026-03-31 15:46:42.422514,f,Deep R&D,"{""Deep R&D""}",{Robotics},"{""Deep R&D"",Robotics}"
13750064,45,27,1,17,0,medium,,t,2026-03-31 15:19:35.584382,f,Biotech,"{Biotech,""Deep R&D""}",{},"{Biotech,""Deep R&D""}"
16185834,45,25,0,20,0,medium,,t,2026-03-31 15:29:55.31542,f,Biotech,{Biotech},{},{Biotech}
16768170,43,23,0,20,0,medium,,t,2026-03-31 15:38:31.165338,f,MedTech,{MedTech},{},{MedTech}
15644261,29,0,12,17,0,low,,t,2026-03-31 15:25:33.274709,f,,{},{},{}
16332248,43,26,0,17,0,medium,,t,2026-03-31 15:31:43.718642,f,Deep R&D,"{""Deep R&D""}",{},"{""Deep R&D""}"
13919140,22,8,14,0,0,low,,t,2026-03-31 15:19:54.865749,f,HealthTech,{HealthTech},{Biotech},"{Biotech,HealthTech}"
15080499,40,26,14,0,0,medium,,t,2026-03-31 15:23:05.98205,f,Biotech,"{""Advanced Materials"",Biotech}",{},"{""Advanced Materials"",Biotech}"
16360555,29,0,12,17,0,low,,t,2026-03-31 15:32:05.936075,f,,{},{},{}
15776028,32,0,12,20,0,low,,t,2026-03-31 15:26:21.38567,f,,{},{},{}
