company_number,company_name,company_status,company_type,date_of_creation,jurisdiction,registered_postcode,registered_locality,registered_region,sic_codes,created_at,updated_at,last_refreshed_at
15986118,LEJOUBERT INTERNATIONAL LTD,Active,ltd,2024-09-29,United Kingdom,W1J 0DP,LONDON,,"[""64304""]",2026-03-31 13:28:07.458436,2026-03-31 13:28:07.458436,
14105225,LEL BILBO BATTERY LIMITED,Active,ltd,2022-05-12,United Kingdom,W1S 1HE,LONDON,,"[""35110""]",2026-03-31 13:28:07.458436,2026-03-31 13:28:07.458436,
14105349,LEL FRODO BATTERY LIMITED,Active,ltd,2022-05-12,United Kingdom,W1S 1HE,LONDON,,"[""35110""]",2026-03-31 13:28:07.458436,2026-03-31 13:28:07.458436,
15050524,LEMANS INTERNATIONAL LIMITED,Active,ltd,2023-08-03,United Kingdom,W1G 7AJ,LONDON,,"[""46900""]",2026-03-31 13:28:07.525775,2026-03-31 13:28:07.525775,
16324039,LEO & QUAVER LTD,Active,ltd,2025-03-18,United Kingdom,CV32 5UP,LEAMINGTON SPA,,"[""86210""]",2026-03-31 13:28:07.593226,2026-03-31 13:28:07.593226,
16914009,LEO AIR LTD,Active,ltd,2025-12-16,United Kingdom,CB3 9EZ,CAMBRIDGE,,"[""33160""]",2026-03-31 13:28:07.593226,2026-03-31 13:28:07.593226,
14206972,LEON BENNETT INTERNATIONAL LTD,Active,ltd,2022-06-29,United Kingdom,DH1 1TW,DURHAM,,"[""72190""]",2026-03-31 13:28:07.593226,2026-03-31 13:28:07.593226,
15403188,LEPOTICA INTERNATIONAL LTD,Active,ltd,2024-01-10,United Kingdom,HA1 1SB,HARROW,,"[""32500""]",2026-03-31 13:28:07.666146,2026-03-31 13:28:07.666146,
14400483,LERNA BESS LIMITED,Active,ltd,2022-10-04,United Kingdom,BS1 4ND,BRISTOL,,"[""35140""]",2026-03-31 13:28:07.666146,2026-03-31 13:28:07.666146,
SC785297,LESS GREY IMAGING LTD,Active,ltd,2023-10-08,United Kingdom,EH3 7PE,EDINBURGH,,"[""72190""]",2026-03-31 13:28:07.666146,2026-03-31 13:28:07.666146,
15720514,LET'S TALK MEDIA INTERNATIONAL LTD,Active,ltd,2024-05-13,United Kingdom,WC2H 9JQ,LONDON,,"[""62090""]",2026-03-31 13:28:07.728712,2026-03-31 13:28:07.728712,
16525228,LEUZEN MOTORS LTD,Active,ltd,2025-06-16,United Kingdom,W11 1WG,LONDON,,"[""45112""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16587605,LEV DRONE SYSTEMS LTD,Active,ltd,2025-07-15,United Kingdom,EC1V 2NX,LONDON,,"[""71121""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16832738,LEVANT PHARMACEUTICALS MANUFACTURING LTD,Active,ltd,2025-11-05,United Kingdom,S11 9NY,SHEFFIELD,,"[""21100"", ""46460""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16633526,LEVERAGE INTERNATIONAL HOLDINGS LTD,Active,ltd,2025-08-05,United Kingdom,W1J 6BD,LONDON,,"[""70229""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
16589291,LEVERAGE INTERNATIONAL UK PLC LTD,Active,ltd,2025-07-16,United Kingdom,W1J 6HE,LONDON,,"[""70229""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
15579964,LEVOCELL LTD,Active,ltd,2024-03-20,United Kingdom,SW11 8BZ,LONDON,,"[""27900"", ""74901""]",2026-03-31 13:28:07.789804,2026-03-31 13:28:07.789804,
15978403,LEWIN BIOSCIENCE LTD,Active,ltd,2024-09-24,United Kingdom,OX4 1XQ,OXFORD,,"[""70229""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
16036262,LEWIS LEE COMPOSITE SOLUTIONS LTD,Active,ltd,2024-10-22,United Kingdom,OX28 1GA,WITNEY,,"[""29100""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
16752587,LEWIS-WHEATLEY CONSULTING LTD.,Active,ltd,2025-09-29,United Kingdom,CB10 2PE,SAFFRON WALDEN,,"[""70229"", ""72110"", ""72190""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
15052988,LEXER INTERNATIONAL LIMITED,Active,ltd,2023-08-06,United Kingdom,SM4 6AG,MORDEN,,"[""32500""]",2026-03-31 13:28:07.855579,2026-03-31 13:28:07.855579,
16570056,LEXICON BIO LTD,Active,ltd,2025-07-07,United Kingdom,W1W 7LT,LONDON,,"[""72110""]",2026-03-31 13:28:07.917982,2026-03-31 13:28:07.917982,
15235222,LEXITAS PHARMA SERVICES UK LIMITED,Active,ltd,2023-10-24,United Kingdom,CB1 2LA,CAMBRIDGE,,"[""72190""]",2026-03-31 13:28:07.917982,2026-03-31 13:28:07.917982,
16754432,LICA-1997AVIATION LTD,Active,ltd,2025-09-30,United Kingdom,CB25 9PB,CAMBRIDGE,,"[""30300"", ""33160""]",2026-03-31 13:28:08.095527,2026-03-31 13:28:08.095527,
16649856,LICUREX İNTERNATIONAL LIMITED,Active,ltd,2025-08-13,United Kingdom,W1W 7LT,LONDON,,"[""62020""]",2026-03-31 13:28:08.095527,2026-03-31 13:28:08.095527,
15715253,LIFE RESEARCH OXFORD LIMITED,Active,ltd,2024-05-10,United Kingdom,OX4 4GB,OXFORD,,"[""72110""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
15233889,LIFE SCIENCE LABS LTD,Active,ltd,2023-10-24,United Kingdom,WC2H 9JQ,LONDON,,"[""72110"", ""74909""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
16984547,LIFEBOX TECHNOLOGIES LTD,Active,ltd,2026-01-23,United Kingdom,W1W 5PF,LONDON,,"[""62012"", ""72190""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
15215361,LIFELINK INNOVATIONS LTD,Active,ltd,2023-10-16,United Kingdom,EC2V 5AE,LONDON,,"[""72110""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
14492682,LIFENITY INTERNATIONAL HEALTH SERVICES LIMITED,Active,ltd,2022-11-18,United Kingdom,TW8 0GD,BRENTFORD,,"[""86900""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
15511548,LIFESCIENCE DIAGNOSTICS LIMITED,Active,ltd,2024-02-21,United Kingdom,BS9 3BY,BRISTOL,,"[""86220""]",2026-03-31 13:28:08.15836,2026-03-31 13:28:08.15836,
16216756,LIFETOUCH SYSTEMS LTD,Active,ltd,2025-01-29,United Kingdom,OX1 4QB,OXFORD,,"[""32500"", ""86900""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
13367944,LIFOS ADVANCED BATTERY TECHNOLOGY LIMITED,Active,ltd,2021-04-29,United Kingdom,TF3 3AS,SHROPSHIRE,,"[""27200""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
16941999,"LIFTING, ACCESS, DRONE & STEAM LIMITED",Active,ltd,2026-01-05,United Kingdom,SS11 7PS,WICKFORD,,"[""43999"", ""71129"", ""81222""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
16543232,LIFTIQO LTD,Active,ltd,2025-06-25,United Kingdom,SG12 9EE,WARE,,"[""62090"", ""70229"", ""72190""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
14614099,LIGHTBEAM BIOTECH LTD,Active,ltd,2023-01-24,United Kingdom,EC1V 2NX,LONDON,,"[""72110"", ""86900""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
14246699,LIGHTBEAM PHOTONICS LTD,Active,ltd,2022-07-19,United Kingdom,L3 5TF,LIVERPOOL,,"[""26701"", ""72190""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
16585868,LIGHTER MATERIALS INNOVATION HUB LTD,Active,ltd,2025-07-15,United Kingdom,N1 7GU,LONDON,,"[""13960"", ""30990"", ""71121"", ""72190""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
15621727,LIGHTEYE LTD,Active,ltd,2024-04-05,United Kingdom,WC2H 9JQ,LONDON,,"[""71129"", ""72190"", ""74901""]",2026-03-31 13:28:08.220656,2026-03-31 13:28:08.220656,
15419684,LIGHTFOLD AEROSPACE LIMITED,Active,ltd,2024-01-17,United Kingdom,PL4 8JY,PLYMOUTH,,"[""51220"", ""70229"", ""84220""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
15094573,LIGHTHEARTED AI HEALTH LIMITED,Active,ltd,2023-08-23,United Kingdom,SE20 7HR,LONDON,,"[""32500"", ""62012""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
16835362,LIGHTHOUSE ROBOTICS LIMITED,Active,ltd,2025-11-05,United Kingdom,W1T 6EB,LONDON,,"[""62012""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
14732624,LIGHTHOUSE THERAPEUTICS LIMITED,Active,ltd,2023-03-15,United Kingdom,BN21 3YT,EASTBOURNE,,"[""20590"", ""46750"", ""72110"", ""74909""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
14947318,LIGHTINUP INTERNATIONAL LIMITED,Active,ltd,2023-06-19,United Kingdom,WC2H 9JQ,LONDON,,"[""27400"", ""46470"", ""47599"", ""70229""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
15976272,LIGHTNING MOTORSPORT LTD,Active,ltd,2024-09-23,United Kingdom,NR18 0QB,NORWICH,,"[""71129""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
16176492,LIGHTNING TREE ADVANCED MATERIALS LTD,Active,ltd,2025-01-10,United Kingdom,CB3 0AX,CAMBRIDGE,,"[""72190""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
15057202,LIGHTPROTEIN LTD,Active,ltd,2023-08-07,United Kingdom,WC2H 9JQ,LONDON,,"[""96090""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
16641827,LIGHTSAIL TECH LTD,Active,ltd,2025-08-10,United Kingdom,WC2H 9JQ,LONDON,,"[""62012"", ""62090"", ""63110"", ""72190""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
16994394,LIGNUM & SOUL INTERNATIONAL LTD,Active,ltd,2026-01-28,United Kingdom,WC2H 9JQ,LONDON,,"[""46150"", ""70229""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
16385480,LIGNUMARIUM LTD,Active,ltd,2025-04-13,United Kingdom,CB4 1QB,CAMBRIDGE,,"[""70229"", ""72190"", ""74909""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
15253460,LIGO INTERNATIONAL HOLDINGS LTD,Active,ltd,2023-11-01,United Kingdom,W1D 5QA,LONDON,,"[""33120"", ""33190"", ""33200"", ""46140""]",2026-03-31 13:28:08.287478,2026-03-31 13:28:08.287478,
15445927,LILBURN DIAGNOSTIC IMAGING LTD,Active,ltd,2024-01-26,United Kingdom,SK9 1HY,WILMSLOW,,"[""86220""]",2026-03-31 13:28:08.346545,2026-03-31 13:28:08.346545,
14394709,LIMAK INTERNATIONAL LIMITED,Active,ltd,2022-10-02,United Kingdom,W1W 6PF,LONDON,,"[""41100"", ""70229"", ""82990""]",2026-03-31 13:28:08.413592,2026-03-31 13:28:08.413592,
16675499,LIVERPOOL ART-INTELLIGENCE LTD,Active,ltd,2025-08-26,United Kingdom,CB1 2GE,CAMBRIDGE,,"[""71200"", ""72110"", ""72190"", ""72200""]",2026-03-31 13:28:09.078205,2026-03-31 13:28:09.078205,
16847428,LIVESTOCK BIOTECH LTD,Active,ltd,2025-11-11,United Kingdom,M50 3UB,SALFORD,,"[""01621"", ""01629"", ""72110"", ""74909""]",2026-03-31 13:28:09.078205,2026-03-31 13:28:09.078205,
13542779,LIVINA HEALTH EXCELLENCE LTD,Active,ltd,2021-08-01,United Kingdom,B75 7LL,SUTTON COLDFIELD,,"[""86900""]",2026-03-31 13:28:09.078205,2026-03-31 13:28:09.078205,
14823935,LMN.BIO LTD,Active,ltd,2023-04-23,United Kingdom,SE14 5NX,LONDON,,"[""72110""]",2026-03-31 13:28:09.363484,2026-03-31 13:28:09.363484,
13810702,LMT RAIL AND CIVIL ENGINEERING LTD,Active,ltd,2021-12-21,United Kingdom,TN24 0PH,ASHFORD,,"[""71200""]",2026-03-31 13:28:09.363484,2026-03-31 13:28:09.363484,
16470618,LOBA INTERNATIONAL LTD,Active,ltd,2025-05-22,United Kingdom,WC1N 3AX,LONDON,,"[""46190"", ""64999""]",2026-03-31 13:28:09.415982,2026-03-31 13:28:09.415982,
15159082,LOTUS MEDICAL INTERNATIONAL LTD,Active,ltd,2023-09-22,United Kingdom,B17 0EG,BIRMINGHAM,,"[""86900""]",2026-03-31 13:28:10.20126,2026-03-31 13:28:10.20126,
16356224,LOUGER BODESS INTERNATIONAL LTD,Active,ltd,2025-03-31,United Kingdom,B65 0NS,ROWLEY REGIS,,"[""62020"", ""70229"", ""71122"", ""74901""]",2026-03-31 13:28:10.318722,2026-03-31 13:28:10.318722,
16560162,LOULABELLES INTERNATIONAL LIMITED,Active,ltd,2025-07-02,United Kingdom,EC1A 9ET,LONDON,,"[""46450"", ""47750"", ""85320"", ""96020""]",2026-03-31 13:28:10.318722,2026-03-31 13:28:10.318722,
16580757,LOUREN DIAGNOSTICS LIMITED,Active,ltd,2025-07-13,United Kingdom,EC1V 2NX,LONDON,,"[""72110"", ""86220"", ""86900""]",2026-03-31 13:28:10.382147,2026-03-31 13:28:10.382147,
15772054,LOVE INTERNAL AND CARE LIMITED,Active,ltd,2024-06-10,United Kingdom,DY3 2BL,DUDLEY,,"[""86900"", ""87100""]",2026-03-31 13:28:10.382147,2026-03-31 13:28:10.382147,
16518951,LRS MEDICAL IMAGING LTD,Active,ltd,2025-06-14,United Kingdom,SK7 2NL,STOCKPORT,,"[""86220""]",2026-03-31 13:28:10.636889,2026-03-31 13:28:10.636889,
14503980,LS AIRCRAFT INTERIORS LTD,Active,ltd,2022-11-24,United Kingdom,CB25 9PB,CAMBRIDGE,,"[""33160""]",2026-03-31 13:28:10.636889,2026-03-31 13:28:10.636889,
16739907,LYPO LTD,Active,ltd,2025-09-23,United Kingdom,W1T 6EB,LONDON,,"[""72110""]",2026-03-31 13:28:11.51272,2026-03-31 13:28:11.51272,
16341531,LSLS MOTORS LTD,Active,ltd,2025-03-25,United Kingdom,WC2H 9JQ,LONDON,,"[""45320""]",2026-03-31 13:28:10.696807,2026-03-31 13:28:10.696807,
16570975,LUCIDPATH LABS LTD,Active,ltd,2025-07-08,United Kingdom,WC2H 9JQ,LONDON,,"[""72190""]",2026-03-31 13:28:10.80991,2026-03-31 13:28:10.80991,
15787110,LUCIN LTD,Active,ltd,2024-06-17,United Kingdom,CB5 8AF,CAMBRIDGE,,"[""62012"", ""72190""]",2026-03-31 13:28:10.80991,2026-03-31 13:28:10.80991,
15830931,LUKASZ86 LTD,Active,ltd,2024-07-09,United Kingdom,CB25 9PB,CAMBRIDGE,,"[""30300"", ""33160""]",2026-03-31 13:28:10.922913,2026-03-31 13:28:10.922913,
16288027,LUKLITTLECOMPANY LTD,Active,ltd,2025-03-03,United Kingdom,CB25 9PB,CAMBRIDGE,,"[""30300"", ""33160""]",2026-03-31 13:28:10.922913,2026-03-31 13:28:10.922913,
16722059,LULASMART LTD,Active,ltd,2025-09-15,United Kingdom,CB25 9PB,CAMBRIDGE,,"[""30300"", ""33160""]",2026-03-31 13:28:10.922913,2026-03-31 13:28:10.922913,
15413378,LULU LIU AI COUTURE LIMITED,Active,ltd,2024-01-15,United Kingdom,W1S 4JL,LONDON,,"[""14190"", ""47710"", ""63110"", ""72190""]",2026-03-31 13:28:10.973653,2026-03-31 13:28:10.973653,
15396866,LUMA (INTERNATIONAL) ENERGY TECHNOLOGY LTD,Active,ltd,2024-01-08,United Kingdom,CV2 4AQ,"WEST MIDLANDS, ENGLAND",,"[""27200"", ""45310"", ""46711"", ""46750""]",2026-03-31 13:28:10.973653,2026-03-31 13:28:10.973653,
16552231,LUMA PHOTONICS LIMITED,Active,ltd,2025-06-30,United Kingdom,WC2H 9JQ,LONDON,,"[""71122""]",2026-03-31 13:28:10.973653,2026-03-31 13:28:10.973653,
13772989,LUMAI LIMITED,Active,ltd,2021-11-30,United Kingdom,OX3 8SB,OXFORD,,"[""26701"", ""72190""]",2026-03-31 13:28:10.973653,2026-03-31 13:28:10.973653,
16977087,LUMEN DIAGNOSTICS LTD,Active,ltd,2026-01-21,United Kingdom,NG34 9SR,SLEAFORD,,"[""53202"", ""86900""]",2026-03-31 13:28:10.973653,2026-03-31 13:28:10.973653,
16772238,LUMERA MOTORS LTD,Active,ltd,2025-10-07,United Kingdom,W12 0QH,LONDON,,"[""45112""]",2026-03-31 13:28:10.973653,2026-03-31 13:28:10.973653,
16243737,LUNALIFT LTD,Active,ltd,2025-02-11,United Kingdom,W1S 1HN,LONDON,,"[""72190""]",2026-03-31 13:28:11.072202,2026-03-31 13:28:11.072202,
17016549,LUNAR MIND THERAPEUTIC SERVICES LTD,Active,ltd,2026-02-06,United Kingdom,DE1 1FR,DERBY,,"[""86900""]",2026-03-31 13:28:11.072202,2026-03-31 13:28:11.072202,
16526505,LUNARDRIFTORNAMENTS LTD,Active,ltd,2025-06-17,United Kingdom,WC2H 9JQ,LONDON,,"[""47910""]",2026-03-31 13:28:11.127598,2026-03-31 13:28:11.127598,
17015684,LUNARNARIS CAPITAL LTD,Active,ltd,2026-02-05,United Kingdom,W1W 5PF,LONDON,,"[""68100""]",2026-03-31 13:28:11.127598,2026-03-31 13:28:11.127598,
16537707,LUNARWISPORNAMENTS LTD,Active,ltd,2025-06-23,United Kingdom,WC2H 9JQ,LONDON,,"[""47910""]",2026-03-31 13:28:11.127598,2026-03-31 13:28:11.127598,
13567208,LURZER INTERNATIONAL LTD,Active,ltd,2021-08-15,United Kingdom,SG13 7NY,HERTFORD,,"[""58110""]",2026-03-31 13:28:11.127598,2026-03-31 13:28:11.127598,
16032025,LUXE PLASMA LTD,Active,ltd,2024-10-20,United Kingdom,WC2A 1HR,LONDON,,"[""47750"", ""85590""]",2026-03-31 13:28:11.273395,2026-03-31 13:28:11.273395,
15536452,LUXOLITE CONSULT INTERNATIONAL LTD,Active,ltd,2024-03-02,United Kingdom,WC2H 9JQ,LONDON,,"[""62020""]",2026-03-31 13:28:11.273395,2026-03-31 13:28:11.273395,
14945175,LUXURY CONCIERGE & EVENTS INTERNATIONAL LTD,Active,ltd,2023-06-18,United Kingdom,W1W 5PF,LONDON,,"[""56210"", ""70229"", ""82302""]",2026-03-31 13:28:11.325005,2026-03-31 13:28:11.325005,
16101709,LUXURY HOMES INTERNATIONAL LTD,Active,ltd,2024-11-26,United Kingdom,W1K 5QF,LONDON,,"[""47190"", ""68100"", ""68310"", ""82990""]",2026-03-31 13:28:11.325005,2026-03-31 13:28:11.325005,
14142247,LUXURY MOTORS LTD,Active,ltd,2022-05-29,United Kingdom,WC1N 3AX,LONDON,,"[""45111""]",2026-03-31 13:28:11.325005,2026-03-31 13:28:11.325005,
14190483,LVANKA INTERNATIONAL HOLDINGS LIMITED,Active,ltd,2022-06-22,United Kingdom,EC4A 2DQ,LONDON,,"[""10860"", ""21100"", ""46190"", ""47910""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
16081639,LVLIN LTD,Active,ltd,2024-11-15,United Kingdom,W1W 5PF,LONDON,,"[""71122"", ""72110""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
16041306,LVRG INTERNATIONAL LTD,Active,ltd,2024-10-24,United Kingdom,SE1 2PL,LONDON,,"[""99999""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
15155236,LVYUAN INTERNATIONAL GROUP LIMITED,Active,ltd,2023-09-21,United Kingdom,CV2 4AQ,"WEST MIDLANDS, ENGLAND",,"[""20600"", ""46190"", ""47910""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
16274620,LWC INTERNATIONAL LIMITED,Active,ltd,2025-02-25,United Kingdom,SE1 3FW,LONDON,,"[""70210""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
16202278,LWM EUROPE LTD,Active,ltd,2025-01-22,United Kingdom,W1B 3HH,LONDON,,"[""72190""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
13800325,LWR INTERNATIONAL LTD,Active,ltd,2021-12-14,United Kingdom,W1W 5PF,LONDON,,"[""69201"", ""69202"", ""69203"", ""82110""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
14684746,LXORA LIFE SCIENCES LIMITED,Active,ltd,2023-02-23,United Kingdom,WC1N 3AX,LONDON,,"[""21100"", ""21200"", ""32500"", ""46460""]",2026-03-31 13:28:11.383427,2026-03-31 13:28:11.383427,
15213530,LYCEUM EDUCATION (INTERNATIONAL) LIMITED,Active,ltd,2023-10-15,United Kingdom,W12 8AA,LONDON,,"[""85410"", ""85422""]",2026-03-31 13:28:11.448977,2026-03-31 13:28:11.448977,
14013163,LYCOCOA LIMITED,Active,ltd,2022-03-29,United Kingdom,CB22 5EA,CAMBRIDGE,,"[""72110""]",2026-03-31 13:28:11.448977,2026-03-31 13:28:11.448977,
14790287,LYCONET INTERNATIONAL LIMITED,Active,ltd,2023-04-09,United Kingdom,EC2Y 9DT,LONDON,,"[""70100""]",2026-03-31 13:28:11.448977,2026-03-31 13:28:11.448977,
14342665,LYCOTEC PHARMA LIMITED,Active,ltd,2022-09-06,United Kingdom,CB22 5EA,CAMBRIDGE,,"[""72110""]",2026-03-31 13:28:11.448977,2026-03-31 13:28:11.448977,
16207372,M SPORT MOTORS LTD,Active,ltd,2025-01-24,United Kingdom,SE19 1PJ,LONDON,,"[""77110""]",2026-03-31 13:28:11.8281,2026-03-31 13:28:11.8281,
16434058,M&H THERAPEUTICS LIMITED,Active,ltd,2025-05-06,United Kingdom,NW9 8JD,LONDON,,"[""86900""]",2026-03-31 13:28:11.889793,2026-03-31 13:28:11.889793,
13706785,M:M BIO LIMITED,Active,ltd,2021-10-26,United Kingdom,OX14 4RY,ABINGDON,,"[""70229"", ""72110""]",2026-03-31 13:28:12.15904,2026-03-31 13:28:12.15904,
16132814,MAAD CAPITAL MANAGEMENT LTD,Active,ltd,2024-12-12,United Kingdom,W1S 4JL,LONDON,,"[""62012"", ""64301"", ""72190""]",2026-03-31 13:28:12.220009,2026-03-31 13:28:12.220009,
13980248,MADE BY GIANTS (INTERNATIONAL) LTD,Active,ltd,2022-03-16,United Kingdom,WC1V 6AX,LONDON,,"[""59111""]",2026-03-31 13:28:12.489539,2026-03-31 13:28:12.489539,
16141533,MADHEADS MOTORS LTD,Active,ltd,2024-12-17,United Kingdom,WN2 5BB,WIGAN,,"[""28110"", ""29100"", ""45200""]",2026-03-31 13:28:12.548705,2026-03-31 13:28:12.548705,
14211909,MADOC INTERNATIONAL LIMITED,Active,ltd,2022-07-03,United Kingdom,WC2H 9JQ,LONDON,,"[""70229""]",2026-03-31 13:28:12.548705,2026-03-31 13:28:12.548705,
16358701,MADRONERO LTD,Active,ltd,2025-03-31,United Kingdom,OX3 7EN,OXFORD,,"[""86101""]",2026-03-31 13:28:12.548705,2026-03-31 13:28:12.548705,
16110693,MADRONES LTD,Active,ltd,2024-11-30,United Kingdom,TA8 2TZ,BURNHAM-ON-SEA,,"[""71200"", ""81210"", ""81222"", ""81229""]",2026-03-31 13:28:12.548705,2026-03-31 13:28:12.548705,
16573019,MAES THERAPY INTERNATIONAL LTD,Active,ltd,2025-07-09,United Kingdom,EN5 5SU,HERTFORDSHIRE,,"[""85320"", ""86900""]",2026-03-31 13:28:12.612891,2026-03-31 13:28:12.612891,
15347646,"MAKALU INTERNATIONAL TRADING CO., LIMITED",Active,ltd,2023-12-13,United Kingdom,W1G 7AJ,LONDON,,"[""99999""]",2026-03-31 13:28:12.973081,2026-03-31 13:28:12.973081,
15156310,MAKRAD DIAGNOSTICS LIMITED,Active,ltd,2023-09-21,United Kingdom,B32 3RX,BIRMINGHAM,,"[""86900""]",2026-03-31 13:28:13.098012,2026-03-31 13:28:13.098012,
16748339,MALATRAS BUSINESS ENGINEERING SOLUTIONS LTD,Active,ltd,2025-09-28,United Kingdom,W1W 5PF,LONDON,,"[""62012"", ""71122"", ""71129"", ""82990""]",2026-03-31 13:28:13.098012,2026-03-31 13:28:13.098012,
16963079,MANCHESTER COLLEGE OF INTERNATIONAL STUDIES LIMITED,Active,ltd,2026-01-14,United Kingdom,W1D 1BS,LONDON,,"[""62020"", ""82990"", ""85410"", ""85590""]",2026-03-31 13:28:13.286389,2026-03-31 13:28:13.286389,
14573889,MANCHESTER MATERIALS AND RESOURCES LTD,Active,ltd,2023-01-05,United Kingdom,NW10 7LQ,LONDON,,"[""46730"", ""82990"", ""98000""]",2026-03-31 13:28:13.353269,2026-03-31 13:28:13.353269,
16240428,MANDERSTON CLINICAL SERVICES LIMITED,Active,ltd,2025-02-10,United Kingdom,CB1 9BJ,CAMBRIDGE,,"[""71122"", ""72110"", ""86220""]",2026-03-31 13:28:13.353269,2026-03-31 13:28:13.353269,
16581894,MANGO GUAVA LTD,Active,ltd,2025-07-14,United Kingdom,NW10 7PN,LONDON,,"[""56101""]",2026-03-31 13:28:13.413368,2026-03-31 13:28:13.413368,
16185596,MANGO INTERNATIONAL TECH LTD,Active,ltd,2025-01-15,United Kingdom,WC2H 9JQ,LONDON,,"[""63120""]",2026-03-31 13:28:13.413368,2026-03-31 13:28:13.413368,
13504808,MANHATTAN HISTORIC MOTORSPORT LTD,Active,ltd,2021-07-08,United Kingdom,SG18 9RZ,BIGGLESWADE,,"[""45200""]",2026-03-31 13:28:13.413368,2026-03-31 13:28:13.413368,
16510784,LHF BIOSCIENCES LTD,Active,ltd,2025-06-10,United Kingdom,CH3 6HJ,CHESTER,,"[""72190""]",2026-03-31 13:28:08.02883,2026-03-31 13:28:08.02883,
16634726,"LIANYA INTERNATIONAL TRADE CO., LIMITED",Active,ltd,2025-08-06,United Kingdom,W1G 7AJ,LONDON,,"[""13990"", ""14190"", ""14310"", ""46160""]",2026-03-31 13:28:08.02883,2026-03-31 13:28:08.02883,
14236527,LIBERTY INTERNATIONAL LTD,Active,ltd,2022-07-14,United Kingdom,OX11 7JD,DIDCOT,,"[""62090""]",2026-03-31 13:28:08.095527,2026-03-31 13:28:08.095527,
13730150,LIBERUM HEALTH LTD,Active,ltd,2021-11-08,United Kingdom,WC1B 4HP,LONDON,,"[""72110""]",2026-03-31 13:28:08.095527,2026-03-31 13:28:08.095527,
16127780,LITTLE FLUFFY DOG LTD.,Active,ltd,2024-12-10,United Kingdom,WC2H 9JQ,COVENT GARDEN,,"[""35140"", ""62012"", ""72190"", ""74909""]",2026-03-31 13:28:08.881624,2026-03-31 13:28:08.881624,
14540260,LITTLE GENIUS INTERNATIONAL ACADEMY LTD,Active,ltd,2022-12-14,United Kingdom,WC2H 9JQ,LONDON,,"[""62090"", ""63120"", ""85590"", ""85600""]",2026-03-31 13:28:08.881624,2026-03-31 13:28:08.881624,
14513366,LITTLE GREY CELLS LTD,Active,ltd,2022-11-29,United Kingdom,IP32 7BS,BURY ST. EDMUNDS,,"[""86900""]",2026-03-31 13:28:08.881624,2026-03-31 13:28:08.881624,
16698273,LITTLE IRIS LTD,Active,ltd,2025-09-04,United Kingdom,CB25 9PB,CAMBRIDGE,,"[""30300"", ""33160""]",2026-03-31 13:28:08.881624,2026-03-31 13:28:08.881624,
15615335,LL EXCELLENT LTD,Active,ltd,2024-04-03,United Kingdom,NW3 2HU,LONDON,,"[""86900""]",2026-03-31 13:28:09.249752,2026-03-31 13:28:09.249752,
